File,TestTime,HavePad,Edge,DarkDot,DarkCircle,DarkPlane,WhiteDot,WhiteCircle,WhitePlane,IOXColor,NullColor,Scratch,ToolResult,Pass 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD1_14031364.jpg,2022/08/30 14:03:13:8593,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD2_14031483.jpg,2022/08/30 14:03:15:0342,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD3_14031598.jpg,2022/08/30 14:03:16:1811,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD4_14031712.jpg,2022/08/30 14:03:17:3311,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD5_14031828.jpg,2022/08/30 14:03:18:4790,1,0,0,0,0,0,0,0,0,0,2,True,False 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD6_14031943.jpg,2022/08/30 14:03:19:6319,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD7_14032057.jpg,2022/08/30 14:03:20:7768,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD8_14032173.jpg,2022/08/30 14:03:21:9367,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD9_14032288.jpg,2022/08/30 14:03:23:0757,1,0,1,0,0,0,0,0,0,0,0,True,False 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD10_14032399.jpg,2022/08/30 14:03:24:2087,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD11_14032512.jpg,2022/08/30 14:03:25:3237,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD12_14032636.jpg,2022/08/30 14:03:26:6442,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD13_14032762.jpg,2022/08/30 14:03:27:8340,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD14_14032892.jpg,2022/08/30 14:03:29:1365,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\1\CamStation3_Pcs1_PAD15_14033012.jpg,2022/08/30 14:03:30:3383,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD1_14033134.jpg,2022/08/30 14:03:31:5510,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD2_14033253.jpg,2022/08/30 14:03:32:7289,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD3_14033368.jpg,2022/08/30 14:03:33:8858,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD4_14033484.jpg,2022/08/30 14:03:35:0537,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD5_14033604.jpg,2022/08/30 14:03:36:2555,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD6_14033723.jpg,2022/08/30 14:03:37:4273,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD7_14033841.jpg,2022/08/30 14:03:38:6271,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD8_14033964.jpg,2022/08/30 14:03:39:8409,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD9_14034077.jpg,2022/08/30 14:03:40:9768,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD10_14034196.jpg,2022/08/30 14:03:42:1796,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD11_14034312.jpg,2022/08/30 14:03:43:3196,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD12_14034441.jpg,2022/08/30 14:03:44:7059,1,0,0,0,0,0,0,0,0,0,0,True,True 
E:\Image\20220830\1150825015\2\CamStation3_Pcs2_PAD13_14034569.jpg,2022/08/30 14:03:45:9156,1,0,0,0,0,0,0,0,0,0,0,True,True 
